name,timestamp,value,beta_kubernetes_io_arch,beta_kubernetes_io_instance_type,beta_kubernetes_io_os,container,cpu,eks_amazonaws_com_capacityType,eks_amazonaws_com_nodegroup,eks_amazonaws_com_nodegroup_image,eks_amazonaws_com_sourceLaunchTemplateId,eks_amazonaws_com_sourceLaunchTemplateVersion,failure_domain_beta_kubernetes_io_region,failure_domain_beta_kubernetes_io_zone,id,image,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,name,namespace,node_kubernetes_io_instance_type,pod,topology_kubernetes_io_region,topology_kubernetes_io_zone
,1641897010.464,0.001500673884672117,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod6f1c7de3-d5cf-44ef-b278-dc36661effc4,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,nginx-ingress,t3a.small,nginx-ingress-9c66f6c8-2wtp6,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.000009589757389176833,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/podb84c5fab-4d2f-4c60-9894-32bc41aebca6,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,default,t3a.small,foo-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.03912544978548963,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.002815575640599006,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod0d4d3197-9fd5-4a74-b228-2af587b95e35,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,coredns-d6bb67487-jm7ks,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0289987484832641,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod1b454e10-465b-41c9-ae40-60670383d708,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,monitoring,t3a.small,prometheus-deployment-87cc8fb88-8h9f5,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.004164779742705881,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5c904c97-5226-43bc-abd3-46828b4f9d50,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,aws-node-vwfwx,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00018169554247595814,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5f5cc073-b26d-465d-8910-eedfab05b80b,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,kube-proxy-tfzft,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0027972393365591933,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/podb19f8b43-b8a1-4b56-9679-f4302e841e41,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,coredns-d6bb67487-9k2cf,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.02464512353827642,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/system.slice/docker.service,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.044054789282076616,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/system.slice/kubelet.service,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
